Kennziffer;Raumeinheit;Aggregat;Einwohner 65 Jahre und älter;Durchschnittsalter der Bevölkerung ;Krankenhausbetten;Ärzte je  Einwohner;Einpendler;Auspendler
"05358";"Düren";"Landkreis";"21,1";"44,0";"6,83";"13,1";"65,7";"70,8"
"05362";"Rhein-Erft-Kreis";"Landkreis";"21,3";"44,0";"3,08";"13,0";"71,2";"77,6"
"05366";"Euskirchen";"Landkreis";"21,3";"44,5";"5,55";"12,8";"63,7";"71,2"
"05370";"Heinsberg";"Landkreis";"20,6";"44,0";"4,06";"12,1";"64,5";"72,9"
"05374";"Oberbergischer Kreis";"Landkreis";"21,1";"43,9";"5,55";"12,2";"65,7";"66,8"
"05378";"Rheinisch-Bergischer Kreis";"Landkreis";"23,1";"45,3";"4,16";"13,0";"63,5";"74,4"
"05382";"Rhein-Sieg-Kreis";"Landkreis";"21,1";"43,9";"2,43";"12,5";"69,7";"78,5"
"05512";"Bottrop, Stadt";"krsfr. Stadt";"22,1";"45,0";"6,00";"12,9";"56,4";"64,0"
"05513";"Gelsenkirchen, Stadt";"krsfr. Stadt";"20,6";"43,2";"6,76";"13,4";"53,7";"55,3"
"05515";"Münster, Stadt";"krsfr. Stadt";"16,9";"40,6";"11,99";"19,6";"49,4";"26,7"
"05554";"Borken";"Landkreis";"18,7";"42,4";"5,08";"11,8";"52,0";"53,5"
"05558";"Coesfeld";"Landkreis";"20,4";"43,9";"3,91";"12,6";"60,4";"69,7"
"05562";"Recklinghausen";"Landkreis";"22,5";"45,1";"7,98";"12,8";"60,1";"69,7"
"05566";"Steinfurt";"Landkreis";"19,6";"43,0";"4,71";"12,1";"60,6";"65,8"
"05570";"Warendorf";"Landkreis";"20,9";"43,7";"4,84";"12,1";"57,5";"65,3"
"05711";"Bielefeld, Stadt";"krsfr. Stadt";"19,9";"42,4";"11,92";"17,2";"43,8";"30,7"
"05754";"Gütersloh";"Landkreis";"19,3";"42,8";"3,93";"10,7";"65,1";"60,7"
"05758";"Herford";"Landkreis";"21,9";"44,4";"4,35";"11,8";"67,9";"70,2"
"05762";"Höxter";"Landkreis";"22,3";"44,8";"7,51";"11,8";"53,8";"62,2"
"05766";"Lippe";"Landkreis";"22,3";"44,1";"4,66";"11,8";"60,6";"67,0"
"05770";"Minden-Lübbecke";"Landkreis";"21,8";"44,1";"7,56";"12,8";"63,1";"62,0"
"05774";"Paderborn";"Landkreis";"17,8";"41,7";"5,79";"12,4";"53,8";"54,9"
"05911";"Bochum, Stadt";"krsfr. Stadt";"22,0";"44,2";"9,66";"14,3";"50,2";"48,9"
"05913";"Dortmund, Stadt";"krsfr. Stadt";"20,4";"43,1";"6,68";"13,2";"45,1";"38,5"
"05914";"Hagen, Stadt";"krsfr. Stadt";"22,5";"44,3";"8,98";"13,6";"45,1";"42,8"
"05915";"Hamm, Stadt";"krsfr. Stadt";"20,7";"43,1";"9,93";"13,2";"37,4";"42,1"
"05916";"Herne, Stadt";"krsfr. Stadt";"21,8";"44,2";"10,30";"13,2";"57,3";"63,0"
"05954";"Ennepe-Ruhr-Kreis";"Landkreis";"23,5";"45,7";"5,84";"12,9";"65,0";"69,2"
"05958";"Hochsauerlandkreis";"Landkreis";"21,8";"44,6";"8,00";"11,9";"45,1";"45,7"
"05962";"Märkischer Kreis";"Landkreis";"21,9";"44,5";"6,92";"12,3";"53,6";"53,9"
"05966";"Olpe";"Landkreis";"19,9";"43,5";"6,25";"11,6";"58,6";"58,0"
"05970";"Siegen-Wittgenstein";"Landkreis";"21,3";"43,9";"7,61";"12,6";"59,9";"58,1"
"05974";"Soest";"Landkreis";"21,0";"44,0";"6,81";"12,6";"58,1";"60,9"
"05978";"Unna";"Landkreis";"22,6";"45,1";"6,76";"12,6";"67,9";"71,8"
"06411";"Darmstadt, Stadt";"krsfr. Stadt";"17,3";"40,4";"9,62";"21,4";"69,0";"48,4"
"06412";"Frankfurt am Main, Stadt";"krsfr. Stadt";"15,7";"40,3";"8,00";"17,4";"64,2";"32,0"
"06413";"Offenbach am Main, Stadt";"krsfr. Stadt";"16,7";"40,5";"9,12";"18,2";"68,9";"71,2"
"06414";"Wiesbaden, Stadt";"krsfr. Stadt";"19,9";"42,5";"7,45";"20,0";"56,5";"45,4"
"06431";"Bergstraße";"Landkreis";"22,0";"44,8";"3,56";"12,3";"67,8";"77,3"
"06432";"Darmstadt-Dieburg";"Landkreis";"20,6";"43,7";"1,45";"10,5";"74,4";"83,6"
"06433";"Groß-Gerau";"Landkreis";"19,3";"42,4";"3,92";"11,3";"77,8";"80,1"
"06434";"Hochtaunuskreis";"Landkreis";"22,5";"44,5";"5,10";"14,5";"80,0";"78,5"
"06435";"Main-Kinzig-Kreis";"Landkreis";"21,3";"44,0";"4,07";"11,6";"72,4";"77,4"
"06436";"Main-Taunus-Kreis";"Landkreis";"21,2";"43,6";"2,91";"12,3";"85,4";"84,7"
"06437";"Odenwaldkreis";"Landkreis";"23,3";"45,5";"4,54";"11,1";"68,0";"76,2"
"06438";"Offenbach";"Landkreis";"21,1";"43,6";"2,00";"11,9";"78,4";"80,9"
"06439";"Rheingau-Taunus-Kreis";"Landkreis";"22,7";"45,0";"4,11";"11,6";"70,9";"81,3"
"06440";"Wetteraukreis";"Landkreis";"20,9";"44,0";"4,43";"12,1";"71,9";"79,8"
"06531";"Gießen";"Landkreis";"19,2";"42,3";"8,79";"15,4";"73,5";"73,8"
"06532";"Lahn-Dill-Kreis";"Landkreis";"21,9";"44,4";"7,04";"14,0";"70,0";"71,3"
"06533";"Limburg-Weilburg";"Landkreis";"21,2";"44,2";"5,80";"13,1";"73,7";"78,2"
"06534";"Marburg-Biedenkopf";"Landkreis";"19,4";"42,5";"6,21";"14,5";"64,5";"65,1"
"06535";"Vogelsbergkreis";"Landkreis";"24,0";"46,2";"6,34";"12,2";"59,9";"69,0"
"06611";"Kassel, Stadt";"krsfr. Stadt";"19,5";"42,1";"13,23";"22,1";"57,9";"35,4"
"06631";"Fulda";"Landkreis";"20,9";"43,5";"6,64";"14,0";"70,0";"68,1"
"06632";"Hersfeld-Rotenburg";"Landkreis";"23,8";"45,5";"8,25";"13,0";"69,6";"68,3"
"06633";"Kassel";"Landkreis";"24,7";"46,1";"4,02";"11,8";"76,0";"80,5"
"06634";"Schwalm-Eder-Kreis";"Landkreis";"23,0";"45,4";"3,55";"11,7";"67,4";"75,0"
"06635";"Waldeck-Frankenberg";"Landkreis";"23,0";"45,2";"10,75";"13,4";"59,7";"60,4"
"06636";"Werra-Meißner-Kreis";"Landkreis";"25,4";"46,6";"5,82";"11,7";"60,2";"69,0"
"07111";"Koblenz, Stadt";"krsfr. Stadt";"21,6";"43,4";"17,66";"25,2";"66,6";"40,0"
"07131";"Ahrweiler";"Landkreis";"24,3";"46,0";"5,89";"14,5";"69,4";"77,3"
"07132";"Altenkirchen (Westerwald)";"Landkreis";"22,0";"44,7";"2,99";"11,7";"80,7";"81,9"
"07133";"Bad Kreuznach";"Landkreis";"23,0";"45,2";"6,09";"13,1";"73,0";"74,5"
"07134";"Birkenfeld";"Landkreis";"24,1";"46,1";"8,30";"12,6";"66,0";"61,8"
"07135";"Cochem-Zell";"Landkreis";"24,0";"46,1";"7,19";"11,8";"77,6";"75,6"
"07137";"Mayen-Koblenz";"Landkreis";"21,6";"44,6";"3,53";"11,0";"77,8";"80,1"
"07138";"Neuwied";"Landkreis";"22,1";"44,6";"8,88";"12,9";"71,8";"74,7"
"07140";"Rhein-Hunsrück-Kreis";"Landkreis";"22,3";"45,2";"4,33";"11,8";"77,5";"75,4"
"07141";"Rhein-Lahn-Kreis";"Landkreis";"23,1";"45,5";"8,15";"12,0";"77,0";"78,0"
"07143";"Westerwaldkreis";"Landkreis";"20,9";"44,2";"2,66";"11,3";"83,1";"82,6"
"07211";"Trier, Stadt";"krsfr. Stadt";"17,7";"41,3";"13,88";"22,9";"55,7";"27,8"
"07231";"Bernkastel-Wittlich";"Landkreis";"22,5";"45,2";"4,43";"12,9";"71,3";"71,2"
"07232";"Eifelkreis Bitburg-Prüm";"Landkreis";"20,5";"43,9";"6,12";"10,4";"77,7";"69,7"
"07233";"Vulkaneifel";"Landkreis";"23,9";"46,0";"3,82";"11,9";"77,2";"72,3"
"07235";"Trier-Saarburg";"Landkreis";"20,3";"44,0";"2,50";"10,0";"77,0";"82,7"
"07311";"Frankenthal (Pfalz), Stadt";"krsfr. Stadt";"22,9";"44,3";"6,50";"18,2";"69,7";"69,3"
"07312";"Kaiserslautern, Stadt";"krsfr. Stadt";"20,2";"42,7";"11,56";"20,8";"58,5";"37,9"
"07313";"Landau in der Pfalz, Stadt";"krsfr. Stadt";"19,0";"42,3";"18,35";"22,7";"68,7";"59,5"
"07314";"Ludwigshafen am Rhein, Stadt";"krsfr. Stadt";"19,1";"42,0";"12,22";"18,9";"68,9";"50,5"
"07315";"Mainz, Stadt";"krsfr. Stadt";"17,5";"40,9";"10,68";"19,9";"63,0";"49,4"
"07316";"Neustadt an der Weinstraße, Stadt";"krsfr. Stadt";"24,0";"45,7";"6,84";"20,8";"55,9";"61,8"
"07317";"Pirmasens, Stadt";"krsfr. Stadt";"25,2";"46,2";"10,64";"21,2";"58,1";"38,4"
"07318";"Speyer, Stadt";"krsfr. Stadt";"22,1";"44,6";"12,88";"20,6";"69,5";"53,9"
"07319";"Worms, Stadt";"krsfr. Stadt";"20,3";"43,0";"8,43";"16,5";"51,0";"49,9"
"07320";"Zweibrücken, Stadt";"krsfr. Stadt";"23,0";"44,9";"6,36";"17,2";"62,1";"55,5"
"07331";"Alzey-Worms";"Landkreis";"19,6";"43,7";"4,83";"11,2";"76,0";"86,1"
"07332";"Bad Dürkheim";"Landkreis";"23,9";"46,2";"3,93";"10,5";"72,2";"83,0"
"07333";"Donnersbergkreis";"Landkreis";"21,3";"44,8";"2,70";"10,7";"77,2";"80,1"
"07334";"Germersheim";"Landkreis";"19,5";"43,4";"2,50";"10,6";"79,3";"82,7"
"07335";"Kaiserslautern";"Landkreis";"21,4";"44,4";"5,03";"12,6";"80,9";"87,0"
"07336";"Kusel";"Landkreis";"23,5";"46,1";"0,00";"10,7";"79,7";"86,2"
"07337";"Südliche Weinstraße";"Landkreis";"22,7";"45,5";"6,35";"9,9";"79,7";"85,0"
"07338";"Rhein-Pfalz-Kreis";"Landkreis";"22,5";"45,0";"0,00";"8,9";"74,6";"88,6"
"07339";"Mainz-Bingen";"Landkreis";"20,4";"43,9";"1,64";"12,9";"77,0";"85,0"
"07340";"Südwestpfalz";"Landkreis";"24,7";"47,1";"2,38";"7,3";"72,7";"87,2"
"08111";"Stuttgart, Stadt";"krsfr. Stadt";"17,9";"41,4";"7,91";"17,4";"60,3";"36,4"
"08115";"Böblingen";"Landkreis";"19,8";"42,7";"2,85";"11,6";"79,6";"78,0"
"08116";"Esslingen";"Landkreis";"20,4";"43,2";"3,56";"12,3";"76,2";"77,1"
"08117";"Göppingen";"Landkreis";"21,4";"43,9";"4,87";"11,8";"74,0";"77,4"
"08118";"Ludwigsburg";"Landkreis";"19,7";"42,8";"3,20";"12,2";"76,8";"79,9"
"08119";"Rems-Murr-Kreis";"Landkreis";"20,9";"43,7";"3,15";"11,7";"74,0";"78,0"
"08121";"Heilbronn, Stadt";"krsfr. Stadt";"19,5";"42,1";"8,70";"19,3";"63,2";"49,6"
"08125";"Heilbronn";"Landkreis";"19,1";"42,8";"3,59";"10,8";"77,9";"79,4"
"08126";"Hohenlohekreis";"Landkreis";"19,2";"42,9";"2,56";"10,4";"76,0";"72,8"
"08127";"Schwäbisch Hall";"Landkreis";"19,0";"42,7";"3,81";"11,5";"63,6";"64,5"
"08128";"Main-Tauber-Kreis";"Landkreis";"22,2";"44,7";"8,21";"14,7";"64,7";"64,6"
"08135";"Heidenheim";"Landkreis";"21,8";"44,0";"4,08";"12,9";"63,6";"65,2"
"08136";"Ostalbkreis";"Landkreis";"20,4";"43,3";"3,39";"12,1";"63,3";"64,1"
"08211";"Baden-Baden, Stadt";"krsfr. Stadt";"26,2";"46,8";"13,90";"23,8";"67,0";"50,0"
"08212";"Karlsruhe, Stadt";"krsfr. Stadt";"18,3";"41,7";"8,87";"18,2";"58,3";"37,7"
"08215";"Karlsruhe";"Landkreis";"20,9";"44,0";"2,03";"11,6";"73,5";"77,8"
"08216";"Rastatt";"Landkreis";"21,3";"44,4";"2,59";"11,0";"71,3";"73,5"
"08221";"Heidelberg, Stadt";"krsfr. Stadt";"16,2";"39,8";"18,85";"26,4";"69,2";"45,2"
"08222";"Mannheim, Stadt";"krsfr. Stadt";"18,5";"41,8";"7,82";"19,0";"60,5";"39,9"
"08225";"Neckar-Odenwald-Kreis";"Landkreis";"21,3";"44,4";"3,50";"11,2";"65,5";"72,9"
"08226";"Rhein-Neckar-Kreis";"Landkreis";"21,3";"44,0";"2,76";"13,2";"76,7";"81,9"
"08231";"Pforzheim, Stadt";"Landkreis";"20,3";"42,4";"9,59";"19,6";"53,6";"45,1"
"08235";"Calw";"Landkreis";"20,5";"43,7";"7,94";"11,2";"63,9";"74,7"
"08236";"Enzkreis";"Landkreis";"20,9";"43,9";"1,63";"10,7";"74,0";"80,8"
"08237";"Freudenstadt";"Landkreis";"20,4";"43,6";"4,10";"11,5";"62,4";"65,4"
"08311";"Freiburg im Breisgau, Stadt";"krsfr. Stadt";"16,3";"39,9";"9,83";"27,2";"54,9";"30,5"
"08315";"Breisgau-Hochschwarzwald";"Landkreis";"21,5";"43,9";"5,11";"13,3";"72,2";"77,8"
"08316";"Emmendingen";"Landkreis";"20,6";"43,7";"6,17";"13,5";"71,3";"78,4"
"08317";"Ortenaukreis";"Landkreis";"20,6";"43,6";"5,38";"12,8";"66,3";"66,9"
"08325";"Rottweil";"Landkreis";"20,9";"43,7";"6,00";"12,0";"67,6";"69,0"
"08326";"Schwarzwald-Baar-Kreis";"Landkreis";"22,1";"44,1";"6,15";"13,5";"58,0";"57,9"
"08327";"Tuttlingen";"Landkreis";"19,4";"42,4";"2,61";"11,0";"66,8";"64,0"
"08335";"Konstanz";"Landkreis";"20,7";"43,2";"5,85";"15,2";"56,5";"57,4"
"08336";"Lörrach";"Landkreis";"20,1";"43,4";"3,63";"12,0";"64,6";"63,4"
"08337";"Waldshut";"Landkreis";"20,9";"43,5";"4,18";"11,1";"63,0";"63,7"
"08415";"Reutlingen";"Landkreis";"20,3";"43,3";"4,32";"13,3";"65,3";"66,8"
"08416";"Tübingen";"Landkreis";"17,0";"40,9";"8,53";"15,6";"64,9";"67,7"
"08417";"Zollernalbkreis";"Landkreis";"21,9";"44,5";"2,92";"11,5";"58,9";"64,1"
"08421";"Ulm, Stadt";"krsfr. Stadt";"18,4";"41,2";"12,28";"24,0";"67,2";"39,7"
"08425";"Alb-Donau-Kreis";"Landkreis";"19,1";"42,5";"2,16";"12,1";"66,3";"78,1"
"08426";"Biberach";"Landkreis";"18,4";"42,1";"4,07";"11,8";"71,4";"72,4"
"08435";"Bodenseekreis";"Landkreis";"22,4";"44,3";"3,48";"15,3";"64,8";"64,1"
"08436";"Ravensburg";"Landkreis";"19,5";"42,6";"6,13";"14,7";"66,3";"66,4"
"08437";"Sigmaringen";"Landkreis";"20,1";"43,3";"5,03";"11,4";"63,9";"68,3"
"09161";"Ingolstadt, Stadt";"krsfr. Stadt";"18,5";"41,8";"9,61";"18,9";"61,3";"32,4"
"09162";"München, Stadt";"krsfr. Stadt";"17,8";"41,3";"7,67";"21,8";"45,0";"27,7"
"09163";"Rosenheim, Stadt";"krsfr. Stadt";"20,1";"42,5";"9,92";"29,8";"67,4";"53,4"
"09171";"Altötting";"Landkreis";"21,7";"44,1";"5,32";"13,3";"76,2";"75,4"
"09172";"Berchtesgadener Land";"Landkreis";"23,6";"44,9";"6,18";"14,8";"65,2";"65,5"
"09173";"Bad Tölz-Wolfratshausen";"Landkreis";"21,2";"43,7";"5,02";"15,0";"65,5";"74,7"
"09174";"Dachau";"Landkreis";"18,3";"42,2";"3,26";"12,2";"74,4";"84,4"
"09175";"Ebersberg";"Landkreis";"18,7";"42,2";"2,36";"12,1";"79,2";"85,9"
"09176";"Eichstätt";"Landkreis";"17,4";"41,5";"3,48";"10,3";"76,8";"83,7"
"09177";"Erding";"Landkreis";"16,7";"41,6";"3,05";"11,8";"74,5";"81,6"
"09178";"Freising";"Landkreis";"15,7";"40,7";"2,01";"11,4";"79,5";"79,5"
"09179";"Fürstenfeldbruck";"Landkreis";"21,5";"43,6";"1,75";"13,7";"75,3";"85,9"
"09180";"Garmisch-Partenkirchen";"Landkreis";"25,0";"45,8";"15,42";"16,1";"54,2";"59,8"
"09181";"Landsberg am Lech";"Landkreis";"19,7";"43,1";"3,98";"12,4";"75,0";"79,9"
"09182";"Miesbach";"Landkreis";"22,6";"44,6";"4,63";"17,2";"73,3";"75,9"
"09183";"Mühldorf a.Inn";"Landkreis";"19,8";"43,1";"3,02";"13,9";"69,8";"74,9"
"09184";"München";"Landkreis";"20,5";"42,8";"3,93";"12,4";"90,4";"84,3"
"09185";"Neuburg-Schrobenhausen";"Landkreis";"18,8";"42,6";"4,68";"11,9";"64,6";"72,4"
"09186";"Pfaffenhofen a.d.Ilm";"Landkreis";"17,9";"42,3";"2,61";"11,1";"73,4";"80,4"
"09187";"Rosenheim";"Landkreis";"21,1";"43,7";"10,93";"13,0";"72,4";"77,7"
"09188";"Starnberg";"Landkreis";"22,8";"44,4";"9,45";"17,8";"80,4";"79,9"
